condition_id,swap_variant,layer,logit_A,logit_B,delta_AB,rank_A,rank_B,j_score_A,j_score_B,j_delta_AB,j_rank_A,j_rank_B
sc10_orig,False,25,-92.9375,-113.5625,20.625,262133,262136,,,,,
sc10_orig,False,26,-88.3125,-107.75,19.4375,262134,262138,,,,,
sc10_orig,False,27,-68.5,-82.125,13.625,262133,262137,,,,,
sc10_orig,False,28,-83.1875,-95.5,12.3125,262135,262139,,,,,
sc10_orig,False,29,-53.09375,-38.46875,-14.625,261998,257004,,,,,
sc10_orig,False,30,-45.5,-26.0625,-19.4375,260381,169824,,,,,
sc10_orig,False,31,-31.0,4.796875,-35.796875,208585,575,,,,,
sc10_orig,False,32,-23.09375,22.71875,-45.8125,107496,44,,,,,
sc10_orig,False,33,-16.296875,22.96875,-39.265625,38477,49,,,,,
sc10_orig,False,34,-16.40625,19.1875,-35.59375,38960,84,,,,,
sc10_orig,False,35,-8.4765625,21.40625,-29.8828125,7518,56,,,,,
sc10_orig,False,36,-9.296875,18.890625,-28.1875,14504,72,,,,,
sc10_orig,False,37,-14.8046875,6.515625,-21.3203125,57052,356,,,,,
sc10_orig,False,38,-20.9375,-9.8984375,-11.0390625,179422,40792,,,,,
sc10_orig,False,39,-14.109375,-22.390625,8.28125,204116,247878,,,,,
sc10_orig,False,40,-6.21484375,-17.75,11.53515625,135102,240296,,,,,
sc10_orig,False,41,0.47412109375,6.33984375,-5.86572265625,29309,5382,,,,,
sc10_orig,False,42,-4.8125,9.65625,-14.46875,59259,730,,,,,
sc10_orig,False,43,-12.8984375,-2.248046875,-10.650390625,180095,32264,,,,,
sc10_orig,False,44,-14.2734375,2.87890625,-17.15234375,211200,8110,,,,,
sc10_orig,False,45,-16.453125,7.35546875,-23.80859375,234128,1688,,,,,
sc10_orig,False,46,-14.203125,4.9296875,-19.1328125,215857,5292,,,,,
sc10_orig,False,47,-11.5703125,1.740234375,-13.310546875,185235,16496,,,,,
sc10_orig,False,48,-9.0859375,14.5,-23.5859375,140472,71,,,,,
sc10_orig,False,49,-2.0078125,28.453125,-30.4609375,38186,6,,,,,
sc10_orig,False,50,-3.330078125,17.15625,-20.486328125,51327,30,,,,,
sc10_orig,False,51,7.7890625,13.03125,-5.2421875,1662,200,,,,,
sc10_orig,False,52,1.7958984375,-9.3984375,11.1943359375,25738,152973,,,,,
sc10_orig,False,53,1.9775390625,-35.1875,37.1650390625,16460,262138,,,,,
sc10_orig,False,54,-7.09765625,-52.40625,45.30859375,123705,262142,,,,,
sc10_orig,False,55,-10.0390625,-47.59375,37.5546875,202275,262141,,,,,
